key_index,configuration_key,native_holder,native_default_expression,resolved_default,source_status
111,BOMBLET_SPRAY_RELOAD,tta.p,50,50,DECL
112,PHASED_ENERGY_BEAM_RELOAD,bba.a,50,50,ASSIGN
113,MACHINE_GUN_RELOAD,brb.o,30,30,DECL
114,SNIPER_CANNON_RELOAD,qea.q,100,100,ASSIGN
115,FIGHTER_BAY_RELOAD,qaa.b,1500,1500,DECL
116,POINT_DEFENCE_LASER_RELOAD,fja.o,50,50,ASSIGN
117,MASS_DRIVER_AIMSPEED,qca.wb,64,64,DECL
118,TORPEDO_AIMSPEED,bma.n,16,16,DECL
119,LASER_AIMSPEED,uda.b,8,8,ASSIGN
120,FIGHTER_BAY_AIMSPEED,df.p,0,0,DECL
121,SPINNING_BLADE_AIMSPEED,mp.o,0,0,DECL
122,SNIPER_CANNON_AIMSPEED,nnb.e,4,4,DECL
123,BOMBLET_SPRAY_AIMSPEED,dfa.a,128,128,ASSIGN
124,PHASED_ENERGY_BEAM_AIMSPEED,bn.a,128,128,DECL
125,MACHINE_GUN_AIMSPEED,dr.a,128,128,ASSIGN
126,GRAPPLING_HOOK_AIMSPEED,ldb.q,128,128,ASSIGN
127,MISSILE_LAUNCHER_AIMSPEED,rta.p,0,0,ASSIGN
128,POINT_DEFENCE_LASER_AIMSPEED,asa.e,128,128,ASSIGN
129,COUNTERMEASURE_LAUNCHER_AIMSPEED,ava.a,0,0,ASSIGN
130,MASS_DRIVER_AIMARC,sib.i,1024,1024,DECL
131,TORPEDO_AIMARC,mmb.i,512,512,ASSIGN
132,LASER_AIMARC,fua.q,1024,1024,ASSIGN
133,FIGHTER_BAY_AIMARC,wkb.b,0,0,ASSIGN
134,SPINNING_BLADE_AIMARC,qea.o,0,0,ASSIGN
135,SNIPER_CANNON_AIMARC,cha.p,1024,1024,DECL
136,BOMBLET_SPRAY_AIMARC,cia.a,1024,1024,DECL
137,PHASED_ENERGY_BEAM_AIMARC,qab.d,1024,1024,DECL
138,MACHINE_GUN_AIMARC,gtb.c,0,0,ASSIGN
139,GRAPPLING_HOOK_AIMARC,dla.c,1024,1024,ASSIGN
140,MISSILE_LAUNCHER_AIMARC,khb.c,0,0,DECL
141,POINT_DEFENCE_LASER_AIMARC,ljb.o,1024,1024,DECL
142,COUNTERMEASURE_LAUNCHER_AIMARC,rlb.e,0,0,ASSIGN
143,MASS_DRIVER_PROJECTILE_DAMAGE,ls.p,1280,1280,DECL
144,TORPEDO_PROJECTILE_DAMAGE,voa.b,1280,1280,ASSIGN
145,LASER_BEAM_PROJECTILE_DAMAGE,hrb.a,92,92,ASSIGN
146,MACHINE_GUN_PROJECTILE_DAMAGE,coa.f,64,64,ASSIGN
147,SNIPER_CANNON_PROJECTILE_DAMAGE,jtb.m,2560,2560,DECL
148,BOMBLET_SPRAY_PROJECTILE_DAMAGE,mtb.o,320,320,ASSIGN
149,EXPLOSION_PROJECTILE_DAMAGE,pea.a,1280,1280,DECL
150,POINT_DEFENCE_LASER_PROJECTILE_DAMAGE,uh.q,64,64,ASSIGN
151,POINT_DEFENCE_LASER_PROJECTILE_INTERCEPT_DAMAGE,ooa.xb,8,8,DECL
152,MASS_DRIVER_PROJECTILE_ONDAMAGE_PARTICLES,ehb.e,5,5,ASSIGN
153,TORPEDO_PROJECTILE_ONDAMAGE_PARTICLES,mc.u,5,5,DECL
154,PHASED_ENERGY_BEAM_PROJECTILE_ONDAMAGE_PARTICLES,pea.b,1,1,DECL
155,SNIPER_CANNON_PROJECTILE_ONDAMAGE_PARTICLES,gaa.p,10,10,ASSIGN
156,BOMBLET_SPRAY_PROJECTILE_ONDAMAGE_PARTICLES,km.o,5,5,DECL
157,EXPLOSION_PROJECTILE_ONDAMAGE_PARTICLES,fmb.r,0,0,ASSIGN
158,POINT_DEFENCE_LASER_PROJECTILE_ONDAMAGE_PARTICLES,osb.b,1,1,DECL
159,MASS_DRIVER_ENERGY_USED,sbb.p,10,10,DECL
160,TORPEDO_ENERGY_USED,qra.o,50,50,DECL
161,LASER_ENERGY_USED,ffa.b,50,50,ASSIGN
162,BOMBLET_SPRAY_ENERGY_USED,rn.o,50,50,DECL
163,PHASED_ENERGY_BEAM_ENERGY_USED,bv.e,2,2,ASSIGN
164,MACHINE_GUN_ENERGY_USED,mmb.g,2,2,ASSIGN
165,SNIPER_CANNON_ENERGY_USED,spa.a,50,50,DECL
166,MISSILE_LAUNCHER_ENERGY_USED,awa.q,2,2,ASSIGN
167,COUNTERMEASURE_LAUNCHER_ENERGY_USED,m.p,2,2,DECL
168,POINT_DEFENCE_LASER_ENERGY_USED,eg.o,2,2,ASSIGN
169,TORPEDO_ACCELERATION,np.o,6,6,DECL
170,THRUSTER_FORCE,pwa.b,192,192,DECL
171,THRUSTER_BOOSTER_FORCE,enb.c,1024,1024,ASSIGN
172,THRUSTER_SMALL_FORCE,clb.a,16,16,DECL
173,VELOCITY_SUSTAIN,ibb.a,508,508,DECL
174,VELOCITY_SUSTAIN_MAX,fna.o,512,512,ASSIGN
175,ANGULAR_VELOCITY_SUSTAIN,nu.q,234,234,DECL
176,THRUSTER_PARTICLE_SPEED_DOWNSHIFT,ina.p,5,5,DECL
177,THRUSTER_PARTICLE_LIFE,slb.a,4,4,DECL
178,ANGULAR_FORCE_DOWNSHIFT,ge.c,4,4,ASSIGN
179,ANGULAR_VELOCITY_SUSTAIN_MAX,gbb.o,256,256,DECL
180,TORQUE_DOWNSHIFT,tua.a,4,4,ASSIGN
181,MOMENT_OF_INERTIA_PREDIVIDE_DOWNSHIFT,wf.e,12,12,DECL
182,MOMENT_OF_INERTIA_PERPOINT_CALC_DOWNSHIFT,ou.r,8,8,DECL
183,SPINNING_BLADE_TOP_SPEED,op.p,256,256,DECL
184,SPINNING_BLADE_SPINUP_SPEED,vha.p,4,4,DECL
185,SPINNING_BLADE_SPINDAMAGE_MULTIPLIER,jsb.d,1,1,DECL
186,PHASED_ENERGY_BEAM_PULSETIME,cqa.p,30,30,DECL
187,PHASED_ENERGY_BEAM_PULSE_FADETIME,ea.j,10,10,DECL
188,MACHINE_GUN_PULSETIME,uaa.o,10,10,DECL
189,POINT_DEFENCE_LASER_PULSETIME,upb.a,50,50,DECL
190,BOMBLET_SPRAY_PUSH_MULTIPLIER,laa.o,128,128,DECL
191,EXPLOSION_PUSH_MULTIPLIER,db.q,128,128,ASSIGN
192,AI_FIRING_RANGE_UPSHIFT,nn.a,18,18,ASSIGN
193,WORLD_WIDTH_UPSHIFT,fob.c,20,20,DECL
194,WEAPON_PARTICLE_SPEED_DOWNSHIFT,eta.b,4,4,DECL
195,WEAPON_PROJECTILE_SPEED_MULTIPLY,aq.o,8,8,DECL
196,RESPAWN_TIME,oq.C,10 * l,500,ASSIGN
197,GRAPPLING_HOOK_MAX_LENGTH,bia.c,65000,65000,ASSIGN
198,GRAPPLING_HOOK_MIN_LENGTH,ls.r,128,128,ASSIGN
199,GRAPPLING_HOOK_FIRE_FORCE,joa.a,1600,1600,ASSIGN
200,GRAPPLING_HOOK_SPRING_CONSTANT,uua.o,1000,1000,DECL
201,GRAPPLING_HOOK_MAX_EXTENSION8_FORCE,nra.b,1024,1024,DECL
202,GRAPPLING_HOOK_COOLDOWN,oq.t,l,50,ASSIGN
203,GRAPPLING_HOOK_ROPE_CHANGE_RATE,ds.d,4000,4000,DECL
204,GRAPPLING_HOOK_ROPE_BREAK_LENGTH,bhb.i,131072,131072,ASSIGN
205,MISSILES_COOLDOWN,oq.m,l * 25,1250,ASSIGN
206,MISSILES_EXPLOSION_POWER,gib.a,15,15,ASSIGN
207,MISSILES_ACCELERATION,iea.d,32,32,DECL
208,MISSILES_TOP_SPEED,la.k,2048,2048,DECL
209,SHIELDS_TOGGLE_COOLDOWN,oq.w,l / 2,25.0,ASSIGN
210,SHIELDS_DIRECTIONAL_IDLE_ENERGY_USAGE,fna.p,1,1,ASSIGN
211,SHIELDS_DIRECTIONAL_RADIUS,rjb.u,32768,32768,DECL
212,SHIELDS_DIRECTIONAL_ARC,eha.q,1024,1024,ASSIGN
213,SHIELDS_DAMAGE_ENERGY_CONVERSION,vgb.o,32,32,ASSIGN
214,REPAIR_MODE_COOLDOWN,oq.q,l * 40,2000,ASSIGN
215,REPAIR_MODE_ACTIVE_TIME,oq.k,5 * l,250,ASSIGN
216,REPAIR_MODE_RADIUS,nw.o,4096,4096,DECL
217,REPAIR_MODE_POWER,wda.p,80,80,ASSIGN
218,BOOSTERS_COOLDOWN,oq.g,l * 20,1000,ASSIGN
219,BOOSTERS_ACTIVE_TIME,oq.p,10 * l,500,ASSIGN
220,COUNTERMEASURES_PULSETIME,oq.n,l * 1,50,ASSIGN
221,COUNTERMEASURES_COOLDOWN,oq.a,l * 20,1000,ASSIGN
222,COUNTERMEASURES_PULSE_RADIUS,bpa.a,131072,131072,DECL
223,SELF_DESTRUCT_PREPARE_TOGGLE_COOLDOWN,oq.o,l,50,ASSIGN
224,SELF_DESTRUCT_ACTIVATE_COOLDOWN,oq.e,10 * l,500,ASSIGN
225,SELF_DESTRUCT_TIMER,oq.y,11 * l,550,ASSIGN
226,PLAYER_REPAIR_TIME,wra.p,20,20,DECL
227,PLAYER_REPAIR_AMOUNT,gka.q,256,256,ASSIGN
228,AI_REPAIR_TIME,uja.b,20,20,DECL
229,AI_REPAIR_AMOUNT,ela.q,256,256,DECL
230,FIGHTER_REPAIR_TIME,wj.p,1,1,ASSIGN
231,FIGHTER_REPAIR_AMOUNT,bjb.o,-2,-2,DECL
232,READY_ROOM_MISSION_TIME,oq.h,20 * l,1000,ASSIGN
233,READY_ROOM_MUTATOR_TIME,oq.z,l * 20,1000,ASSIGN
234,READY_ROOM_TEAM_TIME,oq.j,l * 20,1000,ASSIGN
