canonical_key,native_holder,native_expression,resolved_value,implementation_role,current_evidence_status,current_port_status
DEFAULT_FIRING_LEEWAY,lob.b,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_FIRING_LEEWAY,pt.o,64,64,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_FIRE_FORCE,adb.a,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_FIRE_FORCE,cca.p,64,64,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
LASER_FIRE_FORCE,jga.a,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_FIRE_FORCE,lr.p,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_FIRE_FORCE,wja.b,32768,32768,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MACHINE_GUN_FIRE_FORCE,eca.e,16384,16384,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_FIRE_FORCE,ftb.o,1024,1024,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILE_LAUNCHER_FIRE_FORCE,ana.f,192,192,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_FIRE_FORCE,mqa.s,131072,131072,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURE_LAUNCHER_FIRE_FORCE,jj.o,192,192,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_RELOAD,ujb.h,20,20,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_RELOAD,nca.o,200,200,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
LASER_RELOAD,vt.o,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_RELOAD,tta.p,50,50,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_RELOAD,bba.a,50,50,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MACHINE_GUN_RELOAD,brb.o,30,30,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_RELOAD,qea.q,100,100,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
FIGHTER_BAY_RELOAD,qaa.b,1500,1500,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_RELOAD,fja.o,50,50,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_AIMSPEED,qca.wb,64,64,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_AIMSPEED,bma.n,16,16,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
LASER_AIMSPEED,uda.b,8,8,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
FIGHTER_BAY_AIMSPEED,df.p,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SPINNING_BLADE_AIMSPEED,mp.o,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_AIMSPEED,nnb.e,4,4,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_AIMSPEED,dfa.a,128,128,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_AIMSPEED,bn.a,128,128,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MACHINE_GUN_AIMSPEED,dr.a,128,128,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_AIMSPEED,ldb.q,128,128,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILE_LAUNCHER_AIMSPEED,rta.p,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_AIMSPEED,asa.e,128,128,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURE_LAUNCHER_AIMSPEED,ava.a,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_AIMARC,sib.i,1024,1024,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_AIMARC,mmb.i,512,512,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
LASER_AIMARC,fua.q,1024,1024,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
FIGHTER_BAY_AIMARC,wkb.b,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SPINNING_BLADE_AIMARC,qea.o,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_AIMARC,cha.p,1024,1024,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_AIMARC,cia.a,1024,1024,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_AIMARC,qab.d,1024,1024,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MACHINE_GUN_AIMARC,gtb.c,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_AIMARC,dla.c,1024,1024,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILE_LAUNCHER_AIMARC,khb.c,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_AIMARC,ljb.o,1024,1024,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURE_LAUNCHER_AIMARC,rlb.e,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_PROJECTILE_DAMAGE,ls.p,1280,1280,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_PROJECTILE_DAMAGE,voa.b,1280,1280,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
LASER_BEAM_PROJECTILE_DAMAGE,hrb.a,92,92,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MACHINE_GUN_PROJECTILE_DAMAGE,coa.f,64,64,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_PROJECTILE_DAMAGE,jtb.m,2560,2560,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_PROJECTILE_DAMAGE,mtb.o,320,320,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
EXPLOSION_PROJECTILE_DAMAGE,pea.a,1280,1280,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_PROJECTILE_DAMAGE,uh.q,64,64,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_PROJECTILE_INTERCEPT_DAMAGE,ooa.xb,8,8,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_PROJECTILE_ONDAMAGE_PARTICLES,ehb.e,5,5,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_PROJECTILE_ONDAMAGE_PARTICLES,mc.u,5,5,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_PROJECTILE_ONDAMAGE_PARTICLES,pea.b,1,1,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_PROJECTILE_ONDAMAGE_PARTICLES,gaa.p,10,10,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_PROJECTILE_ONDAMAGE_PARTICLES,km.o,5,5,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
EXPLOSION_PROJECTILE_ONDAMAGE_PARTICLES,fmb.r,0,0,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_PROJECTILE_ONDAMAGE_PARTICLES,osb.b,1,1,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_ENERGY_USED,sbb.p,10,10,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_ENERGY_USED,qra.o,50,50,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
LASER_ENERGY_USED,ffa.b,50,50,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_ENERGY_USED,rn.o,50,50,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_ENERGY_USED,bv.e,2,2,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MACHINE_GUN_ENERGY_USED,mmb.g,2,2,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_ENERGY_USED,spa.a,50,50,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILE_LAUNCHER_ENERGY_USED,awa.q,2,2,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURE_LAUNCHER_ENERGY_USED,m.p,2,2,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_ENERGY_USED,eg.o,2,2,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_ACCELERATION,np.o,6,6,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
THRUSTER_FORCE,pwa.b,192,192,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
THRUSTER_BOOSTER_FORCE,enb.c,1024,1024,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
THRUSTER_SMALL_FORCE,clb.a,16,16,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
VELOCITY_SUSTAIN,ibb.a,508,508,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,CODE_VERIFIED,REQUIRED_INPUT
VELOCITY_SUSTAIN_MAX,fna.o,512,512,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,CODE_VERIFIED,REQUIRED_INPUT
ANGULAR_VELOCITY_SUSTAIN,nu.q,234,234,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,CODE_VERIFIED,REQUIRED_INPUT
THRUSTER_PARTICLE_SPEED_DOWNSHIFT,ina.p,5,5,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
THRUSTER_PARTICLE_LIFE,slb.a,4,4,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
ANGULAR_FORCE_DOWNSHIFT,ge.c,4,4,GAMEPLAY_INPUT,CODE_VERIFIED,REQUIRED_INPUT
ANGULAR_VELOCITY_SUSTAIN_MAX,gbb.o,256,256,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,CODE_VERIFIED,REQUIRED_INPUT
TORQUE_DOWNSHIFT,tua.a,4,4,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,CODE_VERIFIED,REQUIRED_INPUT
MOMENT_OF_INERTIA_PREDIVIDE_DOWNSHIFT,wf.e,12,12,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,CODE_VERIFIED,REQUIRED_INPUT
MOMENT_OF_INERTIA_PERPOINT_CALC_DOWNSHIFT,ou.r,8,8,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,CODE_VERIFIED,REQUIRED_INPUT
SPINNING_BLADE_TOP_SPEED,op.p,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SPINNING_BLADE_SPINUP_SPEED,vha.p,4,4,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SPINNING_BLADE_SPINDAMAGE_MULTIPLIER,jsb.d,1,1,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_PULSETIME,cqa.p,30,30,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_PULSE_FADETIME,ea.j,10,10,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MACHINE_GUN_PULSETIME,uaa.o,10,10,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_PULSETIME,upb.a,50,50,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_PUSH_MULTIPLIER,laa.o,128,128,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
EXPLOSION_PUSH_MULTIPLIER,db.q,128,128,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
WEAPON_PARTICLE_SPEED_DOWNSHIFT,eta.b,4,4,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
WEAPON_PROJECTILE_SPEED_MULTIPLY,aq.o,8,8,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_MAX_LENGTH,bia.c,65000,65000,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_MIN_LENGTH,ls.r,128,128,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_FIRE_FORCE,joa.a,1600,1600,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_SPRING_CONSTANT,uua.o,1000,1000,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_MAX_EXTENSION8_FORCE,nra.b,1024,1024,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_COOLDOWN,oq.t,l,50,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_ROPE_CHANGE_RATE,ds.d,4000,4000,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOK_ROPE_BREAK_LENGTH,bhb.i,131072,131072,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILES_COOLDOWN,oq.m,l * 25,1250,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILES_EXPLOSION_POWER,gib.a,15,15,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILES_ACCELERATION,iea.d,32,32,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILES_TOP_SPEED,la.k,2048,2048,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SHIELDS_TOGGLE_COOLDOWN,oq.w,l / 2,25.0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SHIELDS_DIRECTIONAL_IDLE_ENERGY_USAGE,fna.p,1,1,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SHIELDS_DIRECTIONAL_RADIUS,rjb.u,32768,32768,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SHIELDS_DIRECTIONAL_ARC,eha.q,1024,1024,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SHIELDS_DAMAGE_ENERGY_CONVERSION,vgb.o,32,32,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
REPAIR_MODE_COOLDOWN,oq.q,l * 40,2000,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
REPAIR_MODE_ACTIVE_TIME,oq.k,5 * l,250,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
REPAIR_MODE_RADIUS,nw.o,4096,4096,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
REPAIR_MODE_POWER,wda.p,80,80,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BOOSTERS_COOLDOWN,oq.g,l * 20,1000,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
BOOSTERS_ACTIVE_TIME,oq.p,10 * l,500,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURES_PULSETIME,oq.n,l * 1,50,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURES_COOLDOWN,oq.a,l * 20,1000,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURES_PULSE_RADIUS,bpa.a,131072,131072,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SELF_DESTRUCT_PREPARE_TOGGLE_COOLDOWN,oq.o,l,50,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SELF_DESTRUCT_ACTIVATE_COOLDOWN,oq.e,10 * l,500,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
PLAYER_REPAIR_TIME,wra.p,20,20,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PLAYER_REPAIR_AMOUNT,gka.q,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
AI_REPAIR_TIME,uja.b,20,20,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
AI_REPAIR_AMOUNT,ela.q,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
FIGHTER_REPAIR_TIME,wj.p,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
FIGHTER_REPAIR_AMOUNT,bjb.o,-2,-2,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
