# Current canonical subsystem view. Values originate from NATIVE_ENGINE_INPUTS.csv; do not edit independently.
configuration_key,native_holder,native_default_expression,resolved_default,source_status,implementation_role
COUNTERMEASURE_LAUNCHER_PROJECTILE_LIFE,mq.j,100,100,DECL,GAMEPLAY_INPUT
SNIPER_CANNON_FIRING_LEEWAY,pt.o,64,64,DECL,GAMEPLAY_INPUT
MASS_DRIVER_FIRE_FORCE,adb.a,256,256,DECL,GAMEPLAY_INPUT
TORPEDO_FIRE_FORCE,cca.p,64,64,DECL,GAMEPLAY_INPUT
LASER_FIRE_FORCE,jga.a,256,256,DECL,GAMEPLAY_INPUT
BOMBLET_SPRAY_FIRE_FORCE,lr.p,256,256,ASSIGN,GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_FIRE_FORCE,wja.b,32768,32768,ASSIGN,RESOURCE_GAMEPLAY_INPUT
MACHINE_GUN_FIRE_FORCE,eca.e,16384,16384,ASSIGN,GAMEPLAY_INPUT
SNIPER_CANNON_FIRE_FORCE,ftb.o,1024,1024,DECL,GAMEPLAY_INPUT
MISSILE_LAUNCHER_FIRE_FORCE,ana.f,192,192,DECL,GAMEPLAY_INPUT
POINT_DEFENCE_LASER_FIRE_FORCE,mqa.s,131072,131072,DECL,GAMEPLAY_INPUT
COUNTERMEASURE_LAUNCHER_FIRE_FORCE,jj.o,192,192,DECL,GAMEPLAY_INPUT
MASS_DRIVER_RELOAD,ujb.h,20,20,DECL,WEAPON_TIMING/AIM_INPUT
TORPEDO_RELOAD,nca.o,200,200,DECL,WEAPON_TIMING/AIM_INPUT
LASER_RELOAD,vt.o,0,0,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_RELOAD,tta.p,50,50,DECL,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_RELOAD,bba.a,50,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
MACHINE_GUN_RELOAD,brb.o,30,30,DECL,WEAPON_TIMING/AIM_INPUT
SNIPER_CANNON_RELOAD,qea.q,100,100,ASSIGN,WEAPON_TIMING/AIM_INPUT
FIGHTER_BAY_RELOAD,qaa.b,1500,1500,DECL,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_RELOAD,fja.o,50,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
MASS_DRIVER_AIMSPEED,qca.wb,64,64,DECL,WEAPON_TIMING/AIM_INPUT
TORPEDO_AIMSPEED,bma.n,16,16,DECL,WEAPON_TIMING/AIM_INPUT
LASER_AIMSPEED,uda.b,8,8,ASSIGN,WEAPON_TIMING/AIM_INPUT
FIGHTER_BAY_AIMSPEED,df.p,0,0,DECL,WEAPON_TIMING/AIM_INPUT
SPINNING_BLADE_AIMSPEED,mp.o,0,0,DECL,WEAPON_TIMING/AIM_INPUT
SNIPER_CANNON_AIMSPEED,nnb.e,4,4,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_AIMSPEED,dfa.a,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_AIMSPEED,bn.a,128,128,DECL,WEAPON_TIMING/AIM_INPUT
MACHINE_GUN_AIMSPEED,dr.a,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
MISSILE_LAUNCHER_AIMSPEED,rta.p,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_AIMSPEED,asa.e,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURE_LAUNCHER_AIMSPEED,ava.a,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
MASS_DRIVER_AIMARC,sib.i,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
TORPEDO_AIMARC,mmb.i,512,512,ASSIGN,WEAPON_TIMING/AIM_INPUT
LASER_AIMARC,fua.q,1024,1024,ASSIGN,WEAPON_TIMING/AIM_INPUT
FIGHTER_BAY_AIMARC,wkb.b,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
SPINNING_BLADE_AIMARC,qea.o,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
SNIPER_CANNON_AIMARC,cha.p,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_AIMARC,cia.a,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_AIMARC,qab.d,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
MACHINE_GUN_AIMARC,gtb.c,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
MISSILE_LAUNCHER_AIMARC,khb.c,0,0,DECL,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_AIMARC,ljb.o,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURE_LAUNCHER_AIMARC,rlb.e,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
MASS_DRIVER_PROJECTILE_DAMAGE,ls.p,1280,1280,DECL,DAMAGE_GAMEPLAY_INPUT
TORPEDO_PROJECTILE_DAMAGE,voa.b,1280,1280,ASSIGN,DAMAGE_GAMEPLAY_INPUT
LASER_BEAM_PROJECTILE_DAMAGE,hrb.a,92,92,ASSIGN,DAMAGE_GAMEPLAY_INPUT
MACHINE_GUN_PROJECTILE_DAMAGE,coa.f,64,64,ASSIGN,DAMAGE_GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILE_DAMAGE,jtb.m,2560,2560,DECL,DAMAGE_GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILE_DAMAGE,mtb.o,320,320,ASSIGN,DAMAGE_GAMEPLAY_INPUT
EXPLOSION_PROJECTILE_DAMAGE,pea.a,1280,1280,DECL,DAMAGE_GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILE_DAMAGE,uh.q,64,64,ASSIGN,DAMAGE_GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILE_INTERCEPT_DAMAGE,ooa.xb,8,8,DECL,DAMAGE_GAMEPLAY_INPUT
MASS_DRIVER_PROJECTILE_ONDAMAGE_PARTICLES,ehb.e,5,5,ASSIGN,DAMAGE_GAMEPLAY_INPUT
TORPEDO_PROJECTILE_ONDAMAGE_PARTICLES,mc.u,5,5,DECL,DAMAGE_GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_PROJECTILE_ONDAMAGE_PARTICLES,pea.b,1,1,DECL,RESOURCE_GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILE_ONDAMAGE_PARTICLES,gaa.p,10,10,ASSIGN,DAMAGE_GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILE_ONDAMAGE_PARTICLES,km.o,5,5,DECL,DAMAGE_GAMEPLAY_INPUT
EXPLOSION_PROJECTILE_ONDAMAGE_PARTICLES,fmb.r,0,0,ASSIGN,DAMAGE_GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILE_ONDAMAGE_PARTICLES,osb.b,1,1,DECL,DAMAGE_GAMEPLAY_INPUT
MASS_DRIVER_ENERGY_USED,sbb.p,10,10,DECL,RESOURCE_GAMEPLAY_INPUT
TORPEDO_ENERGY_USED,qra.o,50,50,DECL,RESOURCE_GAMEPLAY_INPUT
LASER_ENERGY_USED,ffa.b,50,50,ASSIGN,RESOURCE_GAMEPLAY_INPUT
BOMBLET_SPRAY_ENERGY_USED,rn.o,50,50,DECL,RESOURCE_GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_ENERGY_USED,bv.e,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
MACHINE_GUN_ENERGY_USED,mmb.g,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
SNIPER_CANNON_ENERGY_USED,spa.a,50,50,DECL,RESOURCE_GAMEPLAY_INPUT
MISSILE_LAUNCHER_ENERGY_USED,awa.q,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
COUNTERMEASURE_LAUNCHER_ENERGY_USED,m.p,2,2,DECL,RESOURCE_GAMEPLAY_INPUT
POINT_DEFENCE_LASER_ENERGY_USED,eg.o,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
TORPEDO_ACCELERATION,np.o,6,6,DECL,GAMEPLAY_INPUT
SPINNING_BLADE_TOP_SPEED,op.p,256,256,DECL,GAMEPLAY_INPUT
SPINNING_BLADE_SPINUP_SPEED,vha.p,4,4,DECL,GAMEPLAY_INPUT
SPINNING_BLADE_SPINDAMAGE_MULTIPLIER,jsb.d,1,1,DECL,DAMAGE_GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_PULSETIME,cqa.p,30,30,DECL,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_PULSE_FADETIME,ea.j,10,10,DECL,RESOURCE_GAMEPLAY_INPUT
MACHINE_GUN_PULSETIME,uaa.o,10,10,DECL,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_PULSETIME,upb.a,50,50,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_PUSH_MULTIPLIER,laa.o,128,128,DECL,GAMEPLAY_INPUT
WEAPON_PARTICLE_SPEED_DOWNSHIFT,eta.b,4,4,DECL,GAMEPLAY_INPUT
WEAPON_PROJECTILE_SPEED_MULTIPLY,aq.o,8,8,DECL,GAMEPLAY_INPUT
MISSILES_COOLDOWN,oq.m,l * 25,1250,ASSIGN,WEAPON_TIMING/AIM_INPUT
MISSILES_EXPLOSION_POWER,gib.a,15,15,ASSIGN,GAMEPLAY_INPUT
MISSILES_ACCELERATION,iea.d,32,32,DECL,GAMEPLAY_INPUT
MISSILES_TOP_SPEED,la.k,2048,2048,DECL,GAMEPLAY_INPUT
REPAIR_MODE_COOLDOWN,oq.q,l * 40,2000,ASSIGN,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURES_PULSETIME,oq.n,l * 1,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURES_COOLDOWN,oq.a,l * 20,1000,ASSIGN,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURES_PULSE_RADIUS,bpa.a,131072,131072,DECL,GAMEPLAY_INPUT
SELF_DESTRUCT_PREPARE_TOGGLE_COOLDOWN,oq.o,l,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
SELF_DESTRUCT_ACTIVATE_COOLDOWN,oq.e,10 * l,500,ASSIGN,WEAPON_TIMING/AIM_INPUT
