configuration_key,native_holder,native_default_expression,resolved_default,source_status,implementation_role
POINT_DEFENCE_LASER_ENERGY_USED,eg.o,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
TORPEDO_ACCELERATION,np.o,6,6,DECL,GAMEPLAY_INPUT
THRUSTER_FORCE,pwa.b,192,192,DECL,GAMEPLAY_INPUT
THRUSTER_BOOSTER_FORCE,enb.c,1024,1024,ASSIGN,GAMEPLAY_INPUT
THRUSTER_SMALL_FORCE,clb.a,16,16,DECL,GAMEPLAY_INPUT
VELOCITY_SUSTAIN,ibb.a,508,508,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
VELOCITY_SUSTAIN_MAX,fna.o,512,512,ASSIGN,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
ANGULAR_VELOCITY_SUSTAIN,nu.q,234,234,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
THRUSTER_PARTICLE_SPEED_DOWNSHIFT,ina.p,5,5,DECL,GAMEPLAY_INPUT
THRUSTER_PARTICLE_LIFE,slb.a,4,4,DECL,GAMEPLAY_INPUT
ANGULAR_FORCE_DOWNSHIFT,ge.c,4,4,ASSIGN,GAMEPLAY_INPUT
ANGULAR_VELOCITY_SUSTAIN_MAX,gbb.o,256,256,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
TORQUE_DOWNSHIFT,tua.a,4,4,ASSIGN,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
MOMENT_OF_INERTIA_PREDIVIDE_DOWNSHIFT,wf.e,12,12,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
MOMENT_OF_INERTIA_PERPOINT_CALC_DOWNSHIFT,ou.r,8,8,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
SPINNING_BLADE_TOP_SPEED,op.p,256,256,DECL,GAMEPLAY_INPUT
SPINNING_BLADE_SPINUP_SPEED,vha.p,4,4,DECL,GAMEPLAY_INPUT
SPINNING_BLADE_SPINDAMAGE_MULTIPLIER,jsb.d,1,1,DECL,DAMAGE_GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_PULSETIME,cqa.p,30,30,DECL,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_PULSE_FADETIME,ea.j,10,10,DECL,RESOURCE_GAMEPLAY_INPUT
MACHINE_GUN_PULSETIME,uaa.o,10,10,DECL,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_PULSETIME,upb.a,50,50,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_PUSH_MULTIPLIER,laa.o,128,128,DECL,GAMEPLAY_INPUT
EXPLOSION_PUSH_MULTIPLIER,db.q,128,128,ASSIGN,GAMEPLAY_INPUT
WEAPON_PARTICLE_SPEED_DOWNSHIFT,eta.b,4,4,DECL,GAMEPLAY_INPUT
WEAPON_PROJECTILE_SPEED_MULTIPLY,aq.o,8,8,DECL,GAMEPLAY_INPUT
GRAPPLING_HOOK_MAX_LENGTH,bia.c,65000,65000,ASSIGN,GAMEPLAY_INPUT
GRAPPLING_HOOK_MIN_LENGTH,ls.r,128,128,ASSIGN,GAMEPLAY_INPUT
GRAPPLING_HOOK_FIRE_FORCE,joa.a,1600,1600,ASSIGN,GAMEPLAY_INPUT
GRAPPLING_HOOK_SPRING_CONSTANT,uua.o,1000,1000,DECL,GAMEPLAY_INPUT
GRAPPLING_HOOK_MAX_EXTENSION8_FORCE,nra.b,1024,1024,DECL,GAMEPLAY_INPUT
GRAPPLING_HOOK_COOLDOWN,oq.t,l,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
GRAPPLING_HOOK_ROPE_CHANGE_RATE,ds.d,4000,4000,DECL,GAMEPLAY_INPUT
GRAPPLING_HOOK_ROPE_BREAK_LENGTH,bhb.i,131072,131072,ASSIGN,GAMEPLAY_INPUT
MISSILES_COOLDOWN,oq.m,l * 25,1250,ASSIGN,WEAPON_TIMING/AIM_INPUT
MISSILES_EXPLOSION_POWER,gib.a,15,15,ASSIGN,GAMEPLAY_INPUT
MISSILES_ACCELERATION,iea.d,32,32,DECL,GAMEPLAY_INPUT
MISSILES_TOP_SPEED,la.k,2048,2048,DECL,GAMEPLAY_INPUT
SHIELDS_TOGGLE_COOLDOWN,oq.w,l / 2,25.0,ASSIGN,WEAPON_TIMING/AIM_INPUT
SHIELDS_DIRECTIONAL_IDLE_ENERGY_USAGE,fna.p,1,1,ASSIGN,RESOURCE_GAMEPLAY_INPUT
SHIELDS_DIRECTIONAL_RADIUS,rjb.u,32768,32768,DECL,GAMEPLAY_INPUT
SHIELDS_DIRECTIONAL_ARC,eha.q,1024,1024,ASSIGN,GAMEPLAY_INPUT
SHIELDS_DAMAGE_ENERGY_CONVERSION,vgb.o,32,32,ASSIGN,RESOURCE_GAMEPLAY_INPUT
REPAIR_MODE_COOLDOWN,oq.q,l * 40,2000,ASSIGN,WEAPON_TIMING/AIM_INPUT
REPAIR_MODE_ACTIVE_TIME,oq.k,5 * l,250,ASSIGN,GAMEPLAY_INPUT
REPAIR_MODE_RADIUS,nw.o,4096,4096,DECL,GAMEPLAY_INPUT
REPAIR_MODE_POWER,wda.p,80,80,ASSIGN,GAMEPLAY_INPUT
BOOSTERS_COOLDOWN,oq.g,l * 20,1000,ASSIGN,WEAPON_TIMING/AIM_INPUT
BOOSTERS_ACTIVE_TIME,oq.p,10 * l,500,ASSIGN,GAMEPLAY_INPUT
COUNTERMEASURES_PULSETIME,oq.n,l * 1,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURES_COOLDOWN,oq.a,l * 20,1000,ASSIGN,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURES_PULSE_RADIUS,bpa.a,131072,131072,DECL,GAMEPLAY_INPUT
SELF_DESTRUCT_PREPARE_TOGGLE_COOLDOWN,oq.o,l,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
SELF_DESTRUCT_ACTIVATE_COOLDOWN,oq.e,10 * l,500,ASSIGN,WEAPON_TIMING/AIM_INPUT
PLAYER_REPAIR_TIME,wra.p,20,20,DECL,GAMEPLAY_INPUT
PLAYER_REPAIR_AMOUNT,gka.q,256,256,ASSIGN,GAMEPLAY_INPUT
AI_REPAIR_TIME,uja.b,20,20,DECL,GAMEPLAY_INPUT
AI_REPAIR_AMOUNT,ela.q,256,256,DECL,GAMEPLAY_INPUT
FIGHTER_REPAIR_TIME,wj.p,1,1,ASSIGN,GAMEPLAY_INPUT
FIGHTER_REPAIR_AMOUNT,bjb.o,-2,-2,DECL,GAMEPLAY_INPUT
