native_slot,source_line,definition_kind,initializer_reference,behavior
37,258,GENERATED_EXPRESSION,"ta.a(polyFrom(n1,n2),119,new wfb(polyFrom(n1,n2),-n2,0))",none
38,317,GENERATED_EXPRESSION,"new wfb(uca.a(-b/2,9,new int[]{7,8,9,11,3,2},-b/2),-b/2,-b/2)",none
39,325,GENERATED_EXPRESSION,"new wfb(uca.a(-b/2,9,new int[]{5,7,9,11,1},-n2),-n2,0)",none
40,251,GENERATED_EXPRESSION,"new wfb(uca.a(-n2,9,new int[]{3,3,7,9,9,11},n1),-n2,0)",none
41,333,GENERATED_EXPRESSION,"new wfb(uca.a(-b/2,9,new int[]{5,7,11,7,11,1},-n2),-n2,0)",none
42,188,DIRECT_OR_OBJECT_REFERENCE,"new wfb(new int[]{5,-8,5,8,-5,5,-5,-5},-5,0)",none
43,193,DIRECT_OR_OBJECT_REFERENCE,"new wfb(new int[]{3,-1,3,1,-3,1,-3,-1},-3,0)",weapon=9
44,197,DIRECT_OR_OBJECT_REFERENCE,"new wfb(new int[]{3,-3,3,3,-3,5,-3,-5},-3,0)",weapon=10
45,357,DIRECT_OR_OBJECT_REFERENCE,object,none
46,134,DIRECT_OR_OBJECT_REFERENCE,wfb2,none
47,202,DIRECT_OR_OBJECT_REFERENCE,"new wfb(new int[]{20,-18,20,18,-11,18,-11,5,-20,5,-20,-5,-11,-5,-11,-18},-20,0)",none
48,492,GENERATED_PROCEDURAL,"jba.a(seed=1000L, mode=12, variation=mgb.a(iload_0,47), scale=2500L)",jba-first-array-materialized
49,493,GENERATED_PROCEDURAL,"jba.a(seed=500L, mode=12, variation=iload_0+45, scale=1250L)",jba-first-array-materialized
50,494,GENERATED_PROCEDURAL,"jba.a(seed=500L, mode=12, variation=mgb.a(iload_0,-10), scale=1250L)",jba-first-array-materialized
51,307,DIRECT_OR_OBJECT_REFERENCE,object,none
52,495,GENERATED_PROCEDURAL,"jba.a(seed=1500L, mode=12, variation=-127, scale=3000L)",jba-first-array-materialized
53,496,GENERATED_PROCEDURAL,"jba.a(seed=1500L, mode=12, variation=123, scale=3000L)",jba-first-array-materialized
54,497,GENERATED_PROCEDURAL,"jba.a(seed=250L, mode=10, variation=mgb.a(iload_0,-108), scale=625L)",jba-first-array-materialized
55,498,GENERATED_PROCEDURAL,"jba.a(seed=250L, mode=10, variation=122, scale=625L)",jba-first-array-materialized
